library,sample_type,yield_nM,qubit_nM
NENO1,no egg no ovary,1.0243,4.1055
NENO2,no egg no ovary,0,0
egg2,egg cell,10.345,58.18181818
egg3,egg cell,6.4334,42.42424242
egg4,egg cell,5.6813,42.12121212
egg9a,egg cell,3.2988,19.94134897
egg9b,egg cell,5.243,20.46920821
egg9c,egg cell,5.0153,15.36656891
