Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os02g57400.1,751,576,581,93,51,72,541,596,615
LOC_Os02g57410.7,489,433,411,1125,816,489,116,133,109
LOC_Os02g57420.1,319,320,244,25,2,4,1,3,0
LOC_Os02g57430.1,93,45,30,35,19,6,2,4,0
LOC_Os02g57440.1,15,17,8,0,0,0,0,0,0
LOC_Os02g57450.2,360,380,328,49,39,8,5,1,1
LOC_Os02g57460.1,4,14,6,0,0,0,0,0,1
LOC_Os02g57470.1,66,100,102,1,1,0,4,9,5
LOC_Os02g57480.1,30,14,6,3,6,1,0,0,0
LOC_Os02g57490.1,0,0,0,8,10,3,1,0,1
LOC_Os02g57500.1,64,62,56,4,0,4,3,1,7
LOC_Os02g57510.1,339,309,195,652,415,294,79,78,84
LOC_Os02g57520.1,0,0,0,4,2,0,0,0,0
LOC_Os02g57530.1,39,35,29,99,67,48,52,54,77
LOC_Os02g57540.1,844,759,497,20,9,7,19,13,16
LOC_Os02g57570.1,0,0,0,4,2,0,14,15,16
LOC_Os02g57580.1,0,0,0,0,0,3,1,12,3
LOC_Os02g57590.1,760,826,831,4,3,2,4,6,11
LOC_Os02g57600.2,279,293,140,2370,1582,980,106,133,144
LOC_Os02g57610.1,760,787,771,804,563,254,66,57,65
LOC_Os02g57620.1,95,53,62,2,0,0,3,1,2
LOC_Os02g57630.4,346,388,187,85,74,52,65,71,50
LOC_Os02g57640.1,595,452,354,715,422,248,140,138,91
LOC_Os02g57650.1,273,328,164,806,483,359,393,398,382
LOC_Os02g57660.1,98,88,63,1232,639,508,113,136,218
LOC_Os02g57670.1,101,76,27,6,7,2,0,0,0
LOC_Os02g57690.1,166,132,69,562,386,321,36,73,72
LOC_Os02g57710.1,321,349,388,384,171,84,18,10,2
LOC_Os02g57720.1,1,2,0,302,185,155,1,12,9
LOC_Os02g57740.1,33,13,16,3,3,1,0,1,1
LOC_Os02g57750.2,109,106,111,291,229,197,471,497,650
LOC_Os02g57760.1,106,111,82,174,69,46,38,40,51
LOC_Os02g57770.1,0,0,1,0,1,0,1,1,0
LOC_Os02g57780.2,269,237,224,114,54,38,120,112,143
LOC_Os02g57790.1,1,2,0,5,1,13,83,143,206
LOC_Os02g57800.1,63,51,73,4,7,0,1,1,8
LOC_Os02g57810.1,0,0,0,0,0,0,4,0,0
LOC_Os02g57820.1,1475,1335,2104,123,102,65,27,34,41
LOC_Os02g57830.1,251,221,113,260,164,82,9,21,16
LOC_Os02g57840.1,24,2,5,0,0,0,0,0,0
LOC_Os02g57850.1,1,3,0,0,0,0,0,0,0
LOC_Os02g57854.1,41,53,26,31,12,22,63,90,103
LOC_Os02g57860.1,0,0,0,10,16,3,1,0,0
LOC_Os02g57870.2,83,103,135,84,38,22,21,6,26
LOC_Os02g57890.1,3,0,0,153,72,40,1,2,2
LOC_Os02g57900.1,1,0,0,10,3,5,0,0,0
LOC_Os02g57910.1,175,135,81,18,12,14,13,7,7
LOC_Os02g57924.1,285,317,359,108,48,59,49,41,43
LOC_Os02g57930.1,305,242,305,5,12,16,1,2,3
LOC_Os02g57940.1,189,130,150,321,159,120,9,10,16
LOC_Os02g57950.1,0,0,0,1,2,0,0,0,0
LOC_Os02g57960.1,1,0,0,4,8,0,0,0,0
LOC_Os02g57965.1,2,0,1,2,3,0,0,0,0
LOC_Os02g57980.1,284,233,125,1,1,1,2,1,1
LOC_Os02g57990.4,44,69,41,20,13,16,1,1,0
LOC_Os02g58000.1,0,0,2,4,2,2,0,0,1
LOC_Os02g58010.1,34,30,23,14,13,7,3,1,1
LOC_Os02g58020.2,337,423,374,158,102,57,27,26,23
LOC_Os02g58030.1,85,111,67,1,5,1,11,17,17
LOC_Os02g58050.1,0,0,0,1,0,1,0,0,0
LOC_Os02g58060.1,1,0,0,8,5,2,4,0,3
LOC_Os02g58070.1,246,230,99,118,109,47,67,80,61
LOC_Os02g58080.1,267,194,167,240,215,110,114,134,105
LOC_Os02g58090.1,358,389,484,164,86,54,84,83,104
LOC_Os02g58100.1,3,0,2,1,5,1,1,0,3
LOC_Os02g58110.1,183,177,221,50,36,5,10,9,5
LOC_Os02g58120.1,81,84,25,0,1,1,0,0,1
LOC_Os02g58139.1,91,71,120,7,5,1,1,2,1
LOC_Os02g58150.1,225,321,376,80,48,47,3,4,9
LOC_Os02g58160.1,3,1,7,4,2,0,0,1,0
LOC_Os02g58170.1,3,5,1,74,59,41,16,8,8
LOC_Os02g58180.1,288,255,214,49,73,32,11,6,8
LOC_Os02g58200.1,28,43,33,30,36,17,3,0,0
LOC_Os02g58210.1,159,194,131,137,44,23,3,5,9
LOC_Os02g58214.1,0,4,12,9,6,9,131,137,136
LOC_Os02g58220.1,35,41,52,279,270,150,27,10,30
LOC_Os02g58230.1,559,505,549,2,0,0,0,0,0
LOC_Os02g58240.1,0,0,0,2,0,1,0,0,0
LOC_Os02g58250.1,170,117,122,111,119,84,64,99,73
LOC_Os02g58260.1,7,5,1,3,1,1,0,0,0
LOC_Os02g58270.1,3,1,1,2,3,0,0,0,1
LOC_Os02g58280.1,36,43,58,3,2,1,0,0,0
LOC_Os02g58290.1,1,3,8,67,40,28,5,10,0
LOC_Os02g58300.1,203,147,276,9,2,2,12,44,12
LOC_Os02g58310.1,0,0,0,8,3,0,1,5,0
LOC_Os02g58330.1,141,104,115,15,5,10,119,142,175
LOC_Os02g58340.1,257,222,234,14,5,14,137,156,210
LOC_Os02g58350.1,10,16,15,0,0,0,0,0,0
LOC_Os02g58360.1,30,29,21,0,0,1,1,0,1
LOC_Os02g58370.1,0,2,0,0,0,0,0,0,0
LOC_Os02g58380.1,0,0,0,1,0,0,1,0,0
LOC_Os02g58390.1,106,98,52,0,0,1,0,0,0
LOC_Os02g58410.1,713,679,711,3022,1903,1488,1002,1358,1194
LOC_Os02g58430.1,0,0,0,2,1,0,0,0,0
LOC_Os02g58440.1,744,579,506,14,12,5,40,36,39
LOC_Os02g58450.1,676,531,475,16,7,7,42,33,35
LOC_Os02g58460.1,320,250,204,83,31,39,14,26,11
LOC_Os02g58470.1,16,41,60,112,80,37,0,2,2
LOC_Os02g58480.1,208,206,220,49,40,37,2,3,3
LOC_Os02g58490.1,386,408,455,46,32,22,4,3,4
LOC_Os02g58500.1,31,43,28,79,40,17,1,6,3
LOC_Os02g58510.1,71,78,34,5,0,0,1,2,2
LOC_Os02g58520.1,0,1,4,74,44,257,1631,1789,1983
LOC_Os02g58530.1,5,9,5,11,12,0,8,5,4
LOC_Os02g58540.1,9,5,11,50,31,24,0,0,2
LOC_Os02g58550.2,115,108,120,17,10,5,6,3,8
LOC_Os02g58554.1,117,101,77,3,2,0,3,0,1
LOC_Os02g58560.1,750,801,875,20,14,16,5,3,6
LOC_Os02g58570.1,314,343,332,660,478,797,2657,2711,3596
LOC_Os02g58580.4,136,93,76,15,11,7,7,9,11
LOC_Os02g58590.1,65,76,32,60,35,12,14,9,8
LOC_Os02g58600.1,1,0,0,3,4,1,0,0,0
LOC_Os02g58610.1,6,4,0,71,40,221,1771,1905,2539
LOC_Os02g58620.1,29,13,27,9,7,31,11,43,67
LOC_Os02g58630.1,3,1,0,5,2,3,0,0,1
LOC_Os02g58640.1,302,199,224,1328,956,789,463,576,560
LOC_Os02g58650.1,106,93,49,310,214,164,31,29,42
LOC_Os02g58660.2,7,6,20,79,52,407,1350,1260,1607
LOC_Os02g58670.2,91,78,130,0,0,0,0,0,0
LOC_Os02g58720.3,150,110,48,3,0,0,2,0,1
LOC_Os02g58730.1,384,347,141,6,10,3,11,3,9
LOC_Os02g58740.1,94,95,48,0,0,1,0,0,0
LOC_Os02g58770.1,0,0,0,1,0,1,0,0,0
LOC_Os02g58790.3,34,31,39,0,0,0,2,0,2
LOC_Os02g58800.1,0,0,4,52,45,255,1273,1249,1540
LOC_Os03g01008.1,6,1,1,0,0,0,0,0,0
LOC_Os03g01016.1,38,36,39,2,4,0,0,2,2
LOC_Os03g01018.1,2,0,1,0,0,0,0,0,0
LOC_Os03g01020.1,62,55,36,71,118,233,3600,4250,3997
LOC_Os03g01040.1,0,0,0,0,0,0,2,0,4
LOC_Os03g01050.1,0,0,0,0,0,0,2,1,1
LOC_Os03g01060.1,0,0,0,0,0,0,1,2,0
LOC_Os03g01080.1,0,1,0,0,0,0,0,1,0
LOC_Os03g01090.1,68,58,72,110,55,34,17,12,5
LOC_Os03g01100.1,306,241,285,326,186,79,54,29,41
LOC_Os03g01110.1,71,72,55,45,39,22,3,2,4
LOC_Os03g01120.1,42,51,56,78,68,39,6,0,7
LOC_Os03g01130.1,42,47,35,14,14,19,0,0,0
LOC_Os03g01140.1,4,2,1,0,0,0,0,0,0
LOC_Os03g01150.1,159,159,231,1284,867,839,30,17,19
LOC_Os03g01160.2,350,291,362,1401,902,819,33,25,19
LOC_Os03g01170.1,43,38,14,54,44,9,0,1,1
LOC_Os03g01180.1,46,49,79,16,15,9,7,3,1
LOC_Os03g01190.1,562,428,649,9,6,7,21,26,14
LOC_Os03g01200.1,274,358,445,5,6,0,44,23,45
LOC_Os03g01210.1,325,291,312,9,6,4,4,2,1
LOC_Os03g01216.1,255,226,301,135,77,29,3,3,3
LOC_Os03g01222.2,53,44,54,1282,808,615,55,71,74
LOC_Os03g01230.1,85,105,53,85,36,61,7,3,3
LOC_Os03g01240.1,193,163,100,188,118,109,25,24,17
LOC_Os03g01250.1,386,287,179,598,473,280,100,127,118
LOC_Os03g01260.1,2,15,10,0,1,1,0,0,1
LOC_Os03g01270.1,23,24,34,0,0,0,0,0,0
LOC_Os03g01290.1,3,0,0,0,0,0,0,0,0
LOC_Os03g01300.1,0,0,0,3,0,13,41,24,62
LOC_Os03g01320.1,6,12,1,0,0,0,0,0,0
LOC_Os03g01330.1,2,1,0,0,0,0,0,0,0
LOC_Os03g01350.1,47,14,33,85,83,63,28,49,21
LOC_Os03g01360.3,124,122,125,68,60,59,13,16,11
LOC_Os03g01365.1,29,10,14,5,2,3,2,1,1
LOC_Os03g01410.1,0,0,0,2,1,0,0,0,0
LOC_Os03g01420.1,649,532,575,555,343,231,149,205,249
LOC_Os03g01436.1,1,1,0,1,2,0,0,0,0
LOC_Os03g01442.1,25,22,19,29,34,12,0,3,3
LOC_Os03g01450.1,0,0,0,0,0,1,0,0,0
LOC_Os03g01460.1,0,0,0,1,2,3,0,0,0
LOC_Os03g01470.1,0,0,0,2,0,6,7,10,4
LOC_Os03g01490.1,271,295,223,258,111,115,132,145,188
LOC_Os03g01500.1,0,0,0,7,3,2,0,1,0
LOC_Os03g01520.1,2,0,0,4,2,6,0,0,0
LOC_Os03g01530.1,1631,1669,1787,89,107,15,6,10,13
LOC_Os03g01540.1,54,33,17,10,8,23,0,3,0
LOC_Os03g01550.1,75,75,57,1,0,0,1,0,0
LOC_Os03g01560.1,0,0,0,1,0,0,0,0,0
LOC_Os03g01570.1,34,45,46,51,18,15,9,38,17
LOC_Os03g01580.1,205,220,243,157,107,100,24,22,17
LOC_Os03g01590.1,2,8,6,57,42,5,1,7,1
LOC_Os03g01600.1,66,48,49,2,2,4,24,18,21
LOC_Os03g01610.1,1,0,0,16,23,30,228,273,304
LOC_Os03g01614.1,18,13,15,9,5,4,6,1,5
LOC_Os03g01620.1,2,1,0,0,1,0,0,0,0
LOC_Os03g01630.1,0,0,0,0,2,16,23,24,26
LOC_Os03g01640.1,1,2,2,1095,688,2433,10476,13755,11155
LOC_Os03g01650.1,0,0,0,3,5,8,52,30,68
LOC_Os03g01660.1,19,21,34,96,50,60,13,22,33
LOC_Os03g01670.1,0,0,0,25,38,3,3,0,3
LOC_Os03g01700.1,0,0,0,3,4,0,0,0,0
LOC_Os03g01710.1,607,393,225,28,9,10,3,6,6
LOC_Os03g01720.1,0,0,1,46,24,5,1,0,0
LOC_Os03g01730.2,79,95,93,59,36,77,0,2,2
LOC_Os03g01740.1,515,555,363,7,7,1,1,1,1
LOC_Os03g01750.7,639,465,70,1011,996,706,1740,1909,2141
LOC_Os03g01760.1,23,26,46,0,0,0,0,0,0
LOC_Os03g01770.1,114,106,115,8,5,9,68,88,101
LOC_Os03g01790.1,27,21,21,907,823,575,47,41,63
LOC_Os03g01800.1,1,3,3,56,34,8,0,1,2
LOC_Os03g01810.1,253,267,261,4,2,7,62,96,50
LOC_Os03g01820.1,9,9,10,7,0,0,0,0,0
LOC_Os03g01830.1,348,437,333,35,42,35,20,16,19
LOC_Os03g01840.1,27,30,11,7,4,0,5,4,1
LOC_Os03g01850.1,72,75,25,13,7,0,0,1,3
LOC_Os03g01880.2,18,3,6,3,3,0,0,1,0
LOC_Os03g01890.1,366,290,317,0,2,2,0,2,2
LOC_Os03g01900.1,224,205,164,29,12,0,40,18,20
LOC_Os03g01910.2,697,722,627,256,138,103,8,6,13
LOC_Os03g01915.1,0,0,0,6,0,0,0,0,0
LOC_Os03g01920.1,94,86,109,97,61,57,52,65,55
LOC_Os03g01930.1,13,10,12,241,150,180,806,873,1130
LOC_Os03g01940.2,206,261,103,722,582,366,22,34,41
LOC_Os03g01960.1,106,76,72,104,37,85,281,252,358
LOC_Os03g01970.1,231,262,335,140,65,41,46,29,35
LOC_Os03g01980.1,33,31,115,0,1,0,1,1,0
LOC_Os03g01990.1,222,146,110,140,94,415,4415,4401,5261
LOC_Os03g02010.4,307,226,298,464,315,233,68,82,72
LOC_Os03g02020.6,26,34,17,22,11,9,0,0,4
LOC_Os03g02030.2,179,133,63,4,6,0,4,4,3
LOC_Os03g02040.1,7,1,0,0,0,0,0,0,0
LOC_Os03g02050.1,6,8,2,0,0,0,0,0,0
LOC_Os03g02070.1,0,0,0,1,1,0,0,0,0
LOC_Os03g02080.2,116,97,97,369,318,175,92,62,49
LOC_Os03g02090.1,162,107,139,18,7,32,16,16,22
LOC_Os03g02100.2,220,150,46,8,0,14,17,28,28
LOC_Os03g02110.1,267,224,218,29,29,3,1,2,4
LOC_Os03g02150.2,420,434,417,29,34,18,123,189,152
LOC_Os03g02160.3,526,607,239,53,46,52,10,12,6
LOC_Os03g02170.1,180,169,160,63,29,7,8,5,12
LOC_Os03g02180.1,0,0,1,1,0,0,0,0,0
LOC_Os03g02190.1,0,0,0,1,1,1,2,1,3
LOC_Os03g02200.1,86,74,82,4,0,2,10,2,12
LOC_Os03g02210.1,0,3,7,2,3,5,28,12,17
LOC_Os03g02230.1,0,0,0,0,0,0,0,0,1
LOC_Os03g02240.1,58,30,14,6,6,1,0,0,0
LOC_Os03g02255.1,18,19,3,0,0,0,0,0,0
LOC_Os03g02260.1,505,278,590,143,121,41,17,20,14
LOC_Os03g02270.1,118,85,65,7,0,1,19,28,23
LOC_Os03g02280.1,1,1,3,0,0,0,0,0,0
LOC_Os03g02290.1,88,125,182,74,103,53,14,5,4
LOC_Os03g02300.1,95,120,62,0,0,0,0,0,0
LOC_Os03g02310.1,172,132,142,0,1,0,0,1,1
LOC_Os03g02320.2,345,264,293,264,190,118,10,6,14
LOC_Os03g02330.1,3,4,0,0,0,0,0,0,4
LOC_Os03g02340.1,0,0,1,3,15,11,0,1,3
LOC_Os03g02350.1,0,0,0,7,4,5,1,2,3
LOC_Os03g02360.1,0,0,0,1,5,0,0,0,0
LOC_Os03g02370.1,8,4,2,30,18,7,2,1,4
LOC_Os03g02380.2,796,972,340,14,15,38,66,57,59
LOC_Os03g02390.1,63,57,28,3,2,6,24,49,34
LOC_Os03g02400.1,10,7,2,4,2,0,0,2,0
LOC_Os03g02410.2,161,133,99,24,7,12,11,0,2
LOC_Os03g02420.1,353,332,208,13,6,5,15,5,16
LOC_Os03g02430.1,13,17,14,0,3,0,10,13,27
LOC_Os03g02440.1,291,260,281,39,11,4,0,2,2
LOC_Os03g02450.1,104,61,62,49,45,38,82,126,45
LOC_Os03g02460.2,20,23,21,7,8,4,1,1,0
LOC_Os03g02470.3,0,0,0,20,6,0,0,0,3
LOC_Os03g02480.1,88,68,51,2,2,0,0,6,4
LOC_Os03g02514.1,92,155,80,4,3,2,0,2,1
LOC_Os03g02530.1,530,601,176,972,1049,561,164,141,200
LOC_Os03g02540.1,452,414,296,67,56,37,35,60,52
LOC_Os03g02544.1,27,31,34,1,0,0,0,1,0
LOC_Os03g02550.1,61,93,58,4,0,0,1,0,0
LOC_Os03g02560.1,200,217,232,3134,2976,1482,1210,1375,1448
LOC_Os03g02570.1,6,0,3,149,128,86,16,21,27
LOC_Os03g02580.1,5,22,16,812,730,582,46,50,60
LOC_Os03g02590.4,74,130,70,1004,945,646,55,51,63
LOC_Os03g02600.1,79,59,76,278,194,235,92,87,127
LOC_Os03g02610.1,16,16,19,12,13,12,0,0,0
LOC_Os03g02640.1,59,79,4,19,28,1,9,4,1
LOC_Os03g02650.1,2,2,4,15,15,6,4,1,0
LOC_Os03g02660.1,17,17,34,0,1,0,0,0,0
LOC_Os03g02670.1,13,37,56,236,170,63,10,13,15
LOC_Os03g02680.3,162,157,63,7,9,1,0,2,0
LOC_Os03g02685.1,16,38,34,3,5,0,0,0,0
LOC_Os03g02690.1,14,20,10,0,0,0,1,2,8
LOC_Os03g02710.1,167,119,119,119,113,121,28,18,22
LOC_Os03g02720.1,96,76,39,35,12,19,7,10,1
LOC_Os03g02730.1,117,76,41,11,1,6,31,34,23
LOC_Os03g02740.1,63,42,7,13,7,71,433,444,380
LOC_Os03g02750.1,472,305,119,0,0,1,3,2,2
LOC_Os03g02762.1,92,93,153,43,27,15,18,27,25
LOC_Os03g02770.2,86,88,148,39,23,15,18,27,24
LOC_Os03g02780.1,308,422,318,155,107,241,142,116,176
LOC_Os03g02790.1,1,0,0,1,0,1,0,0,0
LOC_Os03g02800.1,83,63,111,513,384,266,62,40,51
LOC_Os03g02820.2,8,21,8,2,1,0,0,4,1
LOC_Os03g02830.1,107,77,44,45,14,21,68,91,94
LOC_Os03g02840.3,20,22,21,7,25,17,1,1,3
LOC_Os03g02850.1,35,27,30,493,309,201,230,196,269
LOC_Os03g02860.1,28,88,46,0,0,0,0,0,0
LOC_Os03g02874.1,2,2,0,0,1,0,0,0,0
LOC_Os03g02890.1,10,8,12,181,198,117,31,18,30
LOC_Os03g02900.1,2,4,2,39,25,21,0,1,1
LOC_Os03g02920.1,283,76,105,0,1,0,0,2,1
LOC_Os03g02939.1,54,28,38,0,0,0,0,0,2
LOC_Os03g02960.1,375,329,331,733,839,499,74,72,76
LOC_Os03g02970.1,636,506,508,1465,1449,986,153,142,193
LOC_Os03g02980.1,49,42,17,199,88,85,4,7,5
LOC_Os03g03000.1,1,6,2,2,0,0,0,0,0
LOC_Os03g03010.1,1,0,3,0,0,0,0,0,0
LOC_Os03g03020.1,42,53,17,0,0,0,0,0,0
LOC_Os03g03034.4,71,67,35,2,3,0,0,0,0
LOC_Os03g03050.1,0,0,0,1,4,0,0,0,0
LOC_Os03g03060.1,1,0,0,63,5,24,4,0,0
LOC_Os03g03070.1,17,13,12,47,29,49,1,0,1
LOC_Os03g03080.1,5,6,7,69,29,23,0,0,1
LOC_Os03g03100.1,7,4,2,201,83,111,13,0,2
LOC_Os03g03130.2,279,219,166,75,60,60,31,36,15
LOC_Os03g03140.1,226,173,141,24,7,31,3,4,0
LOC_Os03g03150.1,161,212,145,2769,1977,1503,240,230,283
LOC_Os03g03164.2,8,5,0,0,1,0,0,0,0
LOC_Os03g03180.1,254,320,304,52,34,18,147,176,214
LOC_Os03g03200.2,36,50,23,0,0,0,0,0,0
LOC_Os03g03260.1,2,6,1,0,1,0,0,0,0
LOC_Os03g03270.1,0,0,0,14,1,22,37,76,41
LOC_Os03g03280.1,4,3,0,0,0,0,0,1,0
LOC_Os03g03290.1,618,407,153,13,13,40,136,155,140
LOC_Os03g03300.1,1,1,0,0,0,0,0,1,1
LOC_Os03g03320.1,2,0,2,0,0,0,0,0,0
LOC_Os03g03334.1,7,36,14,7,5,1,0,0,1
LOC_Os03g03340.1,0,0,0,2,1,4,3,0,2
LOC_Os03g03350.1,187,161,125,144,82,157,542,638,771
LOC_Os03g03360.1,429,406,294,162,94,169,518,575,696
LOC_Os03g03370.1,50,49,32,296,265,177,199,289,238
LOC_Os03g03390.1,391,412,169,134,95,49,77,67,71
LOC_Os03g03400.1,24,17,33,8,17,76,234,312,168
LOC_Os03g03410.1,313,209,297,42,42,45,2,1,3
LOC_Os03g03420.2,80,59,60,25,19,107,249,300,245
LOC_Os03g03430.1,35,46,42,34,33,8,5,0,3
LOC_Os03g03440.2,98,168,83,179,145,78,23,17,29
LOC_Os03g03450.1,125,209,96,238,184,94,31,31,54
LOC_Os03g03460.1,744,714,192,58,27,67,604,528,534
LOC_Os03g03470.2,45,55,11,102,82,106,208,143,195
LOC_Os03g03490.1,9,5,0,0,0,0,0,0,0
LOC_Os03g03500.1,1,1,0,0,0,0,5,4,16
LOC_Os03g03510.2,1578,1292,315,22,21,72,597,681,833
LOC_Os03g03520.1,0,2,0,0,0,0,0,0,0
LOC_Os03g03530.1,16,12,4,1,0,0,1,6,2
LOC_Os03g03540.1,0,4,8,88,78,41,24,32,17
LOC_Os03g03550.1,58,47,41,6,0,0,0,1,2
LOC_Os03g03560.1,408,421,393,144,27,36,7,9,8
LOC_Os03g03570.2,344,516,501,149,203,84,16,17,14
LOC_Os03g03590.1,55,46,38,1316,1379,969,150,138,236
LOC_Os03g03600.1,10,1,1,0,0,0,0,0,0
LOC_Os03g03610.1,376,422,445,323,243,104,18,13,17
LOC_Os03g03630.1,21,12,6,0,0,1,2,0,0
LOC_Os03g03640.1,33,25,15,5,3,11,4,3,9
LOC_Os03g03650.1,63,68,28,2,4,0,0,0,0
LOC_Os03g03654.1,0,0,0,4,8,0,0,6,0
LOC_Os03g03660.4,647,804,360,28,5,17,107,130,128
LOC_Os03g03670.1,6,10,8,3,0,0,0,0,1
LOC_Os03g03680.1,0,0,0,0,0,0,2,0,1
LOC_Os03g03690.3,119,86,59,321,222,171,18,20,23
LOC_Os03g03700.2,97,69,41,173,111,84,11,13,12
LOC_Os03g03710.1,385,321,286,226,102,75,3,9,8
LOC_Os03g03720.2,553,544,242,12,6,0,0,0,3
LOC_Os03g03724.1,5,7,0,19,16,18,5,4,1
LOC_Os03g03730.1,37,22,40,181,135,77,13,10,10
LOC_Os03g03740.1,13,9,3,39,50,24,5,0,1
LOC_Os03g03750.1,2,1,0,0,0,0,0,1,0
LOC_Os03g03770.1,734,599,413,163,62,74,393,561,375
LOC_Os03g03790.1,14,4,1,0,0,0,0,0,0
LOC_Os03g03800.1,0,0,0,1,0,0,0,2,0
LOC_Os03g03810.1,482,299,176,1,1,0,0,1,3
LOC_Os03g03820.1,256,225,105,14,5,7,121,147,105
LOC_Os03g03830.1,493,437,209,221,101,70,195,211,178
LOC_Os03g03850.1,0,0,0,13,14,13,0,0,0
LOC_Os03g03860.1,90,70,122,265,180,185,28,13,30
LOC_Os03g03870.1,378,299,416,1919,1519,1004,185,207,267
LOC_Os03g03880.1,380,355,207,97,56,25,28,27,9
LOC_Os03g03890.1,0,2,0,0,0,0,0,0,0
LOC_Os03g03900.1,164,130,73,0,0,4,2,1,2
LOC_Os03g03910.1,134,72,142,12,12,1,5,4,4
LOC_Os03g03920.4,851,730,737,416,237,212,475,540,587
LOC_Os03g03930.1,151,160,170,0,5,0,3,1,0
LOC_Os03g03949.2,62,49,31,0,0,0,0,4,2
LOC_Os03g03980.1,1,1,0,0,0,1,0,0,1
LOC_Os03g03990.1,7,5,5,0,0,0,0,0,0
LOC_Os03g04000.1,106,222,106,0,0,4,3,0,1
LOC_Os03g04010.1,0,0,0,0,0,0,0,0,1
LOC_Os03g04020.2,216,219,102,1,5,2,2,1,1
LOC_Os03g04030.1,90,52,70,214,185,124,11,8,17
LOC_Os03g04040.1,0,0,4,0,0,0,0,0,0
LOC_Os03g04050.1,488,518,417,611,377,277,64,42,38
LOC_Os03g04060.1,78,27,15,3,0,3,0,0,1
LOC_Os03g04070.1,131,78,68,0,1,0,0,0,0
LOC_Os03g04080.1,2,2,5,1,0,0,0,0,0
LOC_Os03g04100.2,171,137,277,6,3,0,95,57,52
LOC_Os03g04110.2,97,63,24,5,2,0,2,1,0
LOC_Os03g04120.1,3,3,0,2,0,0,14,9,16
LOC_Os03g04130.1,17,4,3,31,8,12,3,1,4
LOC_Os03g04140.1,75,72,40,313,245,117,34,44,30
LOC_Os03g04150.1,0,0,0,2,1,0,8,6,13
LOC_Os03g04169.1,428,319,138,2,6,1,0,0,0
LOC_Os03g04195.1,0,0,0,4,5,0,0,0,0
LOC_Os03g04210.1,2,0,0,3,1,0,0,0,0
LOC_Os03g04220.1,62,66,16,0,0,0,0,0,1
LOC_Os03g04240.1,10,19,2,0,0,0,0,0,0
LOC_Os03g04250.1,5,4,11,35,6,6,3,1,0
LOC_Os03g04260.1,202,196,77,17,8,3,0,0,0
LOC_Os03g04270.1,154,188,156,684,532,372,15,46,33
LOC_Os03g04290.1,2,0,1,16,3,3,1,3,0
LOC_Os03g04300.1,73,53,59,31,18,17,12,24,21
LOC_Os03g04310.1,0,0,0,0,3,0,0,0,0
LOC_Os03g04320.1,2,3,1,0,0,0,0,0,0
LOC_Os03g04340.1,550,627,534,2,0,8,1,1,0
LOC_Os03g04360.1,0,0,0,2,0,0,0,2,4
LOC_Os03g04370.1,68,69,72,5,0,0,0,0,1
LOC_Os03g04380.1,113,106,16,58,37,83,28,18,10
LOC_Os03g04390.1,127,124,49,70,52,84,33,20,10
LOC_Os03g04400.1,73,91,24,147,102,67,52,71,62
LOC_Os03g04410.1,610,477,402,525,489,623,3609,3846,4214
LOC_Os03g04420.1,0,0,0,1,0,0,0,0,0
LOC_Os03g04430.2,495,429,277,51,63,20,4,2,4
LOC_Os03g04440.1,115,133,53,68,36,42,5,2,4
LOC_Os03g04450.1,250,169,147,699,561,437,488,568,640
LOC_Os03g04460.1,169,182,69,29,14,21,59,56,58
LOC_Os03g04470.1,103,115,81,10,2,1,2,0,5
LOC_Os03g04480.1,23,40,38,43,16,26,200,184,258
LOC_Os03g04490.1,505,646,446,8,4,3,10,3,4
LOC_Os03g04500.1,31,24,20,11,6,26,253,385,432
LOC_Os03g04520.4,735,627,644,177,111,108,104,84,99
LOC_Os03g04530.1,6,11,24,0,0,0,0,0,0
LOC_Os03g04545.1,75,81,25,409,328,274,221,231,282
LOC_Os03g04550.1,27,49,32,349,421,246,69,69,111
LOC_Os03g04560.1,0,8,30,249,222,700,4097,3538,5763
LOC_Os03g04570.1,146,160,31,0,0,0,1,0,2
LOC_Os03g04580.1,50,82,37,192,209,107,6,15,22
LOC_Os03g04590.3,1869,1763,1492,155,72,64,49,32,21
LOC_Os03g04600.1,270,214,180,17,18,0,1,1,1
LOC_Os03g04610.1,46,25,34,39,33,33,10,15,11
LOC_Os03g04620.1,1,4,2,119,127,512,2916,4317,3834
LOC_Os03g04630.1,2,0,0,0,0,2,0,0,0
LOC_Os03g04650.1,34,20,44,3,1,3,0,1,0
LOC_Os03g04660.1,41,49,14,0,0,0,0,0,0
LOC_Os03g04680.1,0,0,0,6,8,2,0,1,1
LOC_Os03g04690.2,448,272,118,348,608,447,2,10,25
LOC_Os03g04700.1,2,1,4,241,245,111,4,4,6
LOC_Os03g04710.2,183,229,118,1,0,0,0,0,0
LOC_Os03g04740.1,103,119,69,89,66,73,38,31,78
LOC_Os03g04750.1,1479,1238,805,242,106,76,18,11,35
LOC_Os03g04760.1,0,0,0,0,0,0,0,0,1
LOC_Os03g04770.1,56,54,37,437,311,1058,10230,10179,14260
LOC_Os03g04780.1,0,0,0,1,0,2,12,2,19
LOC_Os03g04790.1,0,0,0,0,0,0,17,8,14
LOC_Os03g04800.1,0,0,0,0,0,0,1,3,0
LOC_Os03g04830.1,276,219,138,7,3,3,0,4,1
LOC_Os03g04840.1,0,1,0,124,94,112,6,23,6
