Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g02280.1,0,1,0,0,0,0,0,0,0
LOC_Os01g02290.1,125,67,39,27,28,25,286,277,387
LOC_Os01g02300.1,113,85,64,57,45,72,614,637,754
LOC_Os01g02310.1,0,0,0,10,6,5,5,1,0
LOC_Os01g02320.1,149,128,61,171,102,89,180,178,179
LOC_Os01g02334.1,87,83,51,62,23,30,14,21,14
LOC_Os01g02350.1,80,82,62,22,18,2,9,11,4
LOC_Os01g02360.1,75,59,49,19,25,30,1,2,3
LOC_Os01g02370.1,0,0,0,1,1,0,0,0,1
LOC_Os01g02380.1,0,0,0,1,0,0,0,0,0
LOC_Os01g02390.1,72,105,108,8,0,1,26,30,29
LOC_Os01g02400.3,109,109,56,11,12,50,225,224,209
LOC_Os01g02410.1,0,0,0,0,1,0,0,0,0
LOC_Os01g02420.1,59,26,75,137,106,44,15,11,17
LOC_Os01g02430.1,88,65,50,152,232,55,16,32,15
LOC_Os01g02440.1,11,5,3,31,17,21,3,8,6
LOC_Os01g02450.1,4,2,1,20,14,11,0,1,1
LOC_Os01g02460.1,7,4,2,21,27,17,3,1,1
LOC_Os01g02470.1,1,0,0,0,0,0,0,0,0
LOC_Os01g02480.1,0,0,0,3,0,0,0,0,0
LOC_Os01g02490.1,3,2,3,3,2,0,0,0,0
LOC_Os01g02500.1,0,1,0,13,6,7,2,0,0
LOC_Os01g02510.1,0,0,0,5,3,7,0,0,1
LOC_Os01g02520.1,0,0,0,22,5,23,2,1,1
LOC_Os01g02530.1,0,0,0,10,4,13,2,0,2
LOC_Os01g02540.1,0,0,0,0,1,0,0,0,0
LOC_Os01g02550.1,0,0,0,3,3,1,0,0,0
LOC_Os01g02560.1,4,9,12,32,21,6,6,0,2
LOC_Os01g02570.1,1,3,0,339,227,172,24,18,22
LOC_Os01g02580.1,0,0,0,35,31,34,0,0,2
LOC_Os01g02590.1,25,20,11,13,28,24,29,35,47
LOC_Os01g02600.1,10,10,8,10,6,12,4,15,14
LOC_Os01g02610.1,0,0,0,3,0,0,0,0,0
LOC_Os01g02629.1,0,0,0,1,0,0,0,0,0
LOC_Os01g02670.1,0,0,0,24,2,2,0,2,0
LOC_Os01g02680.1,0,0,0,2,5,0,5,0,0
LOC_Os01g02690.1,18,35,32,192,158,46,3,6,4
LOC_Os01g02700.1,1,1,0,48,51,36,0,4,11
LOC_Os01g02710.1,0,0,0,21,13,6,4,0,0
LOC_Os01g02720.2,402,483,545,40,15,15,15,18,20
LOC_Os01g02730.1,0,1,0,0,0,0,0,0,0
LOC_Os01g02740.1,1,1,1,0,0,0,0,5,1
LOC_Os01g02750.1,1,0,0,0,0,0,0,0,0
LOC_Os01g02760.1,1,3,0,20,18,15,12,32,20
LOC_Os01g02770.1,26,21,31,7,4,2,10,20,4
LOC_Os01g02780.1,0,0,0,29,11,7,0,0,0
LOC_Os01g02790.1,0,0,0,35,38,20,7,26,14
LOC_Os01g02800.1,0,0,0,8,1,1,0,0,0
LOC_Os01g02810.1,1,0,3,14,7,1,0,0,1
LOC_Os01g02830.1,17,11,6,112,123,119,29,38,27
LOC_Os01g02840.1,41,35,17,253,265,102,33,27,31
LOC_Os01g02860.1,112,150,69,449,316,162,8,22,20
LOC_Os01g02870.1,28,27,58,32,14,2,8,6,2
LOC_Os01g02880.1,516,392,335,188,167,89,52,53,51
LOC_Os01g02884.1,357,384,228,945,718,425,90,81,135
